Ejemplar;Objetivo;Resultado;Margen Mejora (%);Tiempo ejecución; Método Ordenación;    Método Colocación; Optimización Local; Número Mejoras; Timeout
ejemplar_calibrado_1.txt;1046616,5362999989;84379,15469999997;91,93791118585825;72,06986951828003;WORKING_COST_SUM;SPOT_INV;True;8;False;
ejemplar_calibrado_2.txt;878505,2744000006;66522,11599999992;92,4278068739618;190,36621117591858;TOTAL_PIECE_DURATION_INV;SPOT_INV;True;48;False;
ejemplar_calibrado_3.txt;692378,5527999996;84926,06440000002;87,73415726750106;46,11649703979492;TOTAL_PIECE_DURATION;SPOT_INV;True;3;False;
ejemplar_calibrado_4.txt;1011503,1860000028;79553,1111;92,13515961184528;40,53208327293396;TOTAL_PIECE_DURATION;SPOT_INV;True;11;False;
ejemplar_calibrado_5.txt;799996,6457999988;83084,81000000001;89,61435520558777;258,0090551376343;RUPTURE_COST;SPOT_INV;True;51;True;
ejemplar_calibrado_6.txt;956312,0344;80396,50609999996;91,5930676172614;51,60674858093262;WORKING_COST_SUM;SPOT_INV;True;16;False;
ejemplar_calibrado_7.txt;503223,68860000005;67894,05860000006;86,50817516383508;90,6214849948883;RUPTURE_COST;SPOT_INV;True;34;False;
ejemplar_calibrado_8.txt;1340866,870800001;106670,92990000006;92,04462931981033;210,2527310848236;WORKING_COST_AVERAGE;SPOT_INV;True;38;False;
ejemplar_calibrado_9.txt;1172856,2666999982;116165,38430000031;90,09551403712507;258,0092556476593;TOTAL_PIECE_DURATION_INV;SPOT_INV;True;64;True;
ejemplar_calibrado_10.txt;1480549,0513999995;79620,08300000003;94,6222596998923;35,922133922576904;WORKING_COST_AVERAGE;SPOT_INV;True;1;False;
