Ejemplar;Objetivo;Resultado;Margen Mejora (%);Tiempo ejecución; Método Ordenación;    Método Colocación; Optimización Local; Número Mejoras; Timeout
ejemplar_calibrado_1.txt;1046616,5362999989;84379,15469999997;91,93791118585825;258,00597167015076;WORKING_COST_SUM;SPOT_INV;True;8;True;
ejemplar_calibrado_2.txt;878505,2744000006;66522,11599999992;92,4278068739618;258,01116490364075;TOTAL_PIECE_DURATION_INV;SPOT_INV;True;48;True;
ejemplar_calibrado_3.txt;692378,5527999996;84926,06440000002;87,73415726750106;258,01467967033386;TOTAL_PIECE_DURATION;SPOT_INV;True;3;True;
ejemplar_calibrado_4.txt;1011503,1860000028;79553,1111;92,13515961184528;258,001437664032;TOTAL_PIECE_DURATION;SPOT_INV;True;11;True;
ejemplar_calibrado_5.txt;799996,6457999988;82919,1021;89,63506877993461;258,0146338939667;RUPTURE_COST;SPOT_INV;True;54;True;
ejemplar_calibrado_6.txt;956312,0344;80299,64709999996;91,60319600595838;258,00576424598694;WORKING_COST_SUM;SPOT_INV;True;19;True;
ejemplar_calibrado_7.txt;503223,68860000005;67894,05860000006;86,50817516383508;258,00551438331604;RUPTURE_COST;SPOT_INV;True;34;True;
ejemplar_calibrado_8.txt;1340866,870800001;106632,66909999977;92,04748275745082;258,01282954216003;WORKING_COST_AVERAGE;SPOT_INV;True;40;True;
ejemplar_calibrado_9.txt;1172856,2666999982;116178,5183000003;90,09439420681227;258,0080943107605;TOTAL_PIECE_DURATION_INV;SPOT_INV;True;63;True;
ejemplar_calibrado_10.txt;1480549,0513999995;79620,08300000003;94,6222596998923;258,00363183021545;WORKING_COST_AVERAGE;SPOT_INV;True;1;True;
ejemplar_calibrado_11.txt;663232,651700002;85655,50249999999;87,08514994241504;258,0064322948456;NUM_OPERATIONS;SPOT_INV;True;51;True;
ejemplar_calibrado_12.txt;528955,4914999999;64768,332100000094;87,75542873818522;258,0070126056671;TOTAL_PIECE_DURATION;SPOT_INV;True;22;True;
ejemplar_calibrado_13.txt;254594,47749999998;47561,69820000004;81,3186449812133;258,002934217453;WORKING_COST_SUM;SPOT_INV;True;10;True;
ejemplar_calibrado_14.txt;361545,2138000008;48657,01109999999;86,54192913008218;258,0030679702759;WORKING_COST_AVERAGE;SPOT_INV;True;12;True;
ejemplar_calibrado_15.txt;302721,478;57138,069800000034;81,12520123200507;258,0044867992401;WORKING_COST_RMS;SPOT_INV;True;19;True;
ejemplar_calibrado_16.txt;831939,464299999;87086,38619999995;89,53212463922779;258,0073993206024;WORKING_COST_AVERAGE_INV;SPOT_INV;True;44;True;
ejemplar_calibrado_17.txt;582646,5866000005;67592,78259999999;88,39900822307504;258,0058653354645;RUPTURE_COST_INV;SPOT_INV;True;38;True;
ejemplar_calibrado_18.txt;492769,3145999998;70095,69369999999;85,77515043587903;258,0141580104828;WORKING_COST_AVERAGE;SPOT_INV;True;5;True;
ejemplar_calibrado_19.txt;687485,8057000003;67264,99979999998;90,21579802196635;258,0045483112335;WORKING_COST_SUM_INV;SPOT_INV;True;14;True;
ejemplar_calibrado_20.txt;801621,0562;88447,29970000002;88,96644505331795;258,00711607933044;RUPTURE_COST_INV;SPOT_INV;True;28;True;
ejemplar_calibrado_21.txt;1257212,1845000014;104566,06449999975;91,6827035412812;258,0085804462433;WORKING_COST_AVERAGE;SPOT_INV;True;21;True;
ejemplar_calibrado_22.txt;2179698,5394999897;112226,41929999998;94,85128712680864;258,002836227417;TOTAL_PIECE_DURATION;SPOT_INV;True;19;True;
ejemplar_calibrado_23.txt;839081,3936000009;82480,52060000002;90,17014067656476;258,00250792503357;NUM_OPERATIONS_INV;SPOT_INV;True;76;True;
ejemplar_calibrado_24.txt;1005809,131600002;72875,0541;92,75458416408756;258,0036211013794;RUPTURE_COST_INV;SPOT_INV;True;30;True;
ejemplar_calibrado_25.txt;717861,3448000003;76854,82539999999;89,29391783570514;258,0077157020569;WORKING_COST_SUM_INV;SPOT_INV;True;32;True;
ejemplar_calibrado_26.txt;895407,7757999997;79970,7649999998;91,06878819222337;258,00493001937866;TOTAL_PIECE_DURATION_INV;SPOT_INV;True;14;True;
ejemplar_calibrado_27.txt;858738,8011000003;81485,51340000003;90,5110246217335;258,0053708553314;RUPTURE_COST;SPOT_INV;True;54;True;
ejemplar_calibrado_28.txt;278697,26100000023;51324,09600000002;81,58428403069237;258,0037612915039;TOTAL_PIECE_DURATION;SPOT_INV;False;0;True;
ejemplar_calibrado_29.txt;1507652,2001000028;109314,58029999996;92,74935026176799;258,0168704986572;NUM_OPERATIONS;SPOT_INV;True;23;True;
ejemplar_calibrado_30.txt;525251,4552999996;68429,46099999997;86,97205684829255;258,00434851646423;WORKING_COST_RMS_INV;SPOT_INV;True;34;True;
ejemplar_calibrado_31.txt;1043805,1777000002;76554,37300000004;92,66583701292939;258,0034911632538;WORKING_COST_AVERAGE;SPOT_INV;True;13;True;
ejemplar_calibrado_32.txt;550796,6107999999;69761,54210000005;87,33442785737634;258,0014407634735;WORKING_COST_RMS;SPOT_INV;True;20;True;
ejemplar_calibrado_33.txt;252872,43730000008;36484,06870000066;85,57214495594982;258,0130240917206;TOTAL_PIECE_DURATION;SPOT_INV;True;26;True;
ejemplar_calibrado_34.txt;1438778,1794999996;91489,55819999993;93,6411630713086;258,0172309875488;TOTAL_PIECE_DURATION_INV;SPOT_INV;True;58;True;
ejemplar_calibrado_35.txt;998551,4679999999;107467,76629999994;89,23763373807388;258,00566363334656;TOTAL_PIECE_DURATION;SPOT_INV;True;12;True;
