Ejemplar;Objetivo;Resultado;Margen Mejora (%);Tiempo ejecución; Método Ordenación;    Método Colocación; Optimización Local; Número Mejoras; Timeout
ejemplar_calibrado_46.txt;402744,78179999994;64044,23889999998;84,09805867284858;258,00432229042053;RANDOM;SPOT_INV;False;11;True;
ejemplar_calibrado_47.txt;752054,3569999991;85585,17989999984;88,61981463129798;258,02856731414795;RANDOM;SPOT_INV;False;11;True;
ejemplar_calibrado_48.txt;778670,2499999993;83732,63440000007;89,24671458810708;258,00195503234863;RANDOM;SPOT_INV;False;13;True;
ejemplar_calibrado_49.txt;1195495,5862999978;92998,66270000002;92,2209112467051;258,0043730735779;RANDOM;SPOT_INV;False;8;True;
ejemplar_calibrado_50.txt;903827,1170999992;93756,00589999992;89,62677661179016;258,01928186416626;RANDOM;SPOT_INV;False;11;True;
ejemplar_calibrado_51.txt;260667,9042000001;42296,747;83,77370350607208;258,00019454956055;RANDOM;SPOT_INV;False;14;True;
ejemplar_calibrado_52.txt;946887,1644000008;94050,07389999999;90,06744653048547;258,0267963409424;RANDOM;SPOT_INV;False;11;True;
ejemplar_calibrado_53.txt;977483,5020999999;89185,38579999995;90,87602137443788;258,0229516029358;RANDOM;SPOT_INV;False;10;True;
ejemplar_calibrado_54.txt;802659,8609999995;87737,46339999992;89,06916021804162;258,00612020492554;RANDOM;SPOT_INV;False;15;True;
ejemplar_calibrado_55.txt;538588,8317000022;55405,56499999997;89,71282697691339;258,00348925590515;RANDOM;SPOT_INV;False;16;True;
ejemplar_calibrado_56.txt;873168,479600001;91937,07159999997;89,47086687759086;258,01858615875244;RANDOM;SPOT_INV;False;12;True;
ejemplar_calibrado_57.txt;873468,6657999996;91779,27979999999;89,49255040351785;258,01281666755676;RANDOM;SPOT_INV;False;11;True;
ejemplar_calibrado_58.txt;469989,3454000005;70773,30830000003;84,94150793146896;258,0342996120453;RANDOM;SPOT_INV;False;11;True;
ejemplar_calibrado_59.txt;832316,7017999989;99398,16240000004;88,05765135013657;258,0168662071228;RANDOM;SPOT_INV;False;17;True;
ejemplar_calibrado_60.txt;434683,86100000044;57024,99230000002;86,88127224948893;258,00923013687134;RANDOM;SPOT_INV;False;8;True;
ejemplar_calibrado_61.txt;586310,1735999997;63138,21630000004;89,23126032210469;258,0014340877533;RANDOM;SPOT_INV;False;8;True;
ejemplar_calibrado_62.txt;588349,4559000001;73941,11020000002;87,43245031358242;258,01294350624084;RANDOM;SPOT_INV;False;11;True;
ejemplar_calibrado_63.txt;1015455,1965999993;111160,12840000002;89,05317253068455;258,02510619163513;RANDOM;SPOT_INV;False;9;True;
ejemplar_calibrado_64.txt;849291,3007999999;82118,8535;90,33089666376576;258,0015549659729;RANDOM;SPOT_INV;False;10;True;
ejemplar_calibrado_65.txt;1117646,9849000007;100949,26970000008;90,96769632416337;258,01572036743164;RANDOM;SPOT_INV;False;14;True;
ejemplar_calibrado_66.txt;922863,5169999973;94532,29730000003;89,75663296266154;258,0197207927704;RANDOM;SPOT_INV;False;8;True;
ejemplar_calibrado_67.txt;596156,2891999994;78561,94580000004;86,82192116006614;258,02188897132874;RANDOM;SPOT_INV;False;12;True;
ejemplar_calibrado_68.txt;511371,5915000003;70885,55720000004;86,13815112566729;258,0050382614136;RANDOM;SPOT_INV;False;11;True;
ejemplar_calibrado_69.txt;801600,3429000002;91965,50009999999;88,52726287924348;258,0350456237793;RANDOM;SPOT_INV;False;6;True;
ejemplar_calibrado_70.txt;506388,0928000003;71031,09629999998;85,97299239260471;258,01260685920715;RANDOM;SPOT_INV;False;8;True;
ejemplar_calibrado_71.txt;327594,35619999963;52090,68980000002;84,09902710039421;258,0063078403473;RANDOM;SPOT_INV;False;12;True;
ejemplar_calibrado_72.txt;727903,4240000005;88774,46950000004;87,80408683721208;258,01007986068726;RANDOM;SPOT_INV;False;10;True;
ejemplar_calibrado_73.txt;607271,0841999996;67418,94269999993;88,89804825981209;258,0191128253937;RANDOM;SPOT_INV;False;13;True;
ejemplar_calibrado_74.txt;692069,5299999987;75958,7329;89,0244072875163;258,0096321105957;RANDOM;SPOT_INV;False;8;True;
ejemplar_calibrado_75.txt;978561,3501999992;94468,85019999993;90,34614945903063;258,003541469574;RANDOM;SPOT_INV;False;11;True;
ejemplar_calibrado_76.txt;718001,1758000011;74304,07969999999;89,65125932875947;258,02201890945435;RANDOM;SPOT_INV;False;9;True;
ejemplar_calibrado_77.txt;1078202,9379999994;99679,84059999984;90,75500194936401;258,0405683517456;RANDOM;SPOT_INV;False;12;True;
ejemplar_calibrado_78.txt;705143,7953000005;63175,08809999993;91,0408219541771;258,00678610801697;RANDOM;SPOT_INV;False;10;True;
ejemplar_calibrado_79.txt;384483,738399999;53660,675399999905;86,04344734492416;258,00715827941895;RANDOM;SPOT_INV;False;8;True;
ejemplar_calibrado_80.txt;946581,4295999988;91591,61819999987;90,32395784072119;258,00144243240356;RANDOM;SPOT_INV;False;8;True;
ejemplar_calibrado_81.txt;594280,4174000004;64851,020400000096;89,08747141901028;258,0007975101471;RANDOM;SPOT_INV;False;8;True;
ejemplar_calibrado_82.txt;556017,9421000003;68270,70389999993;87,7214926478539;258,01393485069275;RANDOM;SPOT_INV;False;16;True;
ejemplar_calibrado_83.txt;605577,4525999996;68560,80510000011;88,67844157578199;258,02793169021606;RANDOM;SPOT_INV;False;7;True;
ejemplar_calibrado_84.txt;315766,06760000007;59090,21080000003;81,28671289821642;258,0243651866913;RANDOM;SPOT_INV;False;11;True;
ejemplar_calibrado_85.txt;349019,64799999975;54345,02229999997;84,42923697522038;258,0105400085449;RANDOM;SPOT_INV;False;12;True;
